region,survey,site,site_id,easting,northing,year,land_use,land_use_sub,loc_id,core_id,z,d,rho_fe,rho_c,f_c,s_fei,S_fez,s_ci,S_cz,i,time
sc,Jena_1,Edinburgh,EB,330424.169573211,672292.616259145,2004,grass,improved pasture,EB_1,EB_2004_1,0.05,0.05,1073.56266,53.2,0.0495546296291639,53.678133,53.678133,2.66,2.66,1,0
sc,Jena_1,Edinburgh,EB,330424.169573211,672292.616259145,2004,grass,improved pasture,EB_1,EB_2004_1,0.1,0.05,1199.8938348,48.13090944,0.0401126400053739,59.99469174,113.67282474,2.406545472,5.066545472,2,0
sc,Jena_1,Edinburgh,EB,330424.169573211,672292.616259145,2004,grass,improved pasture,EB_1,EB_2004_1,0.2,0.1,1409.913105,32.03205551,0.0227191699945225,140.9913105,254.66413524,3.203205551,8.269751023,3,0
sc,Jena_1,Edinburgh,EB,330424.169573211,672292.616259145,2004,grass,improved pasture,EB_1,EB_2004_1,0.3,0.1,,,,,,,,4,0
sc,Jena_1,Edinburgh,EB,330424.169573211,672292.616259145,2004,grass,improved pasture,EB_1,EB_2004_1,0.4,0.1,1385.740282,6.2947668,0.00454252999769549,138.5740282,,0.62947668,,5,0
sc,Jena_1,Edinburgh,EB,330424.169573211,672292.616259145,2004,grass,improved pasture,EB_1,EB_2004_1,0.5,0.1,1296.686056,5.66837232,0.00437142999554242,129.6686056,,0.566837232,,6,0
sc,Jena_1,Edinburgh,EB,330424.169573211,672292.616259145,2004,grass,improved pasture,EB_1,EB_2004_1,0.6,0.1,1459.335341,7.2479495,0.00496661000139515,145.9335341,,0.72479495,,7,0
sc,Jena_1,Edinburgh,EB,330413.379508157,672249.191540387,2004,grass,improved pasture,EB_10,EB_2004_10,0.05,0.05,912.4777958,50.8,0.0556725875783771,45.62388979,45.62388979,2.54,2.54,1,0
sc,Jena_1,Edinburgh,EB,330413.379508157,672249.191540387,2004,grass,improved pasture,EB_10,EB_2004_10,0.1,0.05,1223.847975,46.91312388,0.0383324766133637,61.19239875,106.81628854,2.345656194,4.885656194,2,0
sc,Jena_1,Edinburgh,EB,330413.379508157,672249.191540387,2004,grass,improved pasture,EB_10,EB_2004_10,0.2,0.1,1309.38646,37.98166771,0.0290072250403445,130.938646,237.75493454,3.798166771,8.683822965,3,0
sc,Jena_1,Edinburgh,EB,330413.379508157,672249.191540387,2004,grass,improved pasture,EB_10,EB_2004_10,0.3,0.1,1421.671492,40.28225711,0.0283344340353418,142.1671492,379.92208374,4.028225711,12.712048676,4,0
sc,Jena_1,Edinburgh,EB,330413.379508157,672249.191540387,2004,grass,improved pasture,EB_10,EB_2004_10,0.4,0.1,1565.682303,14.0011948,0.00894255161035693,156.5682303,536.49031404,1.40011948,14.112168156,5,0
sc,Jena_1,Edinburgh,EB,330413.379508157,672249.191540387,2004,grass,improved pasture,EB_10,EB_2004_10,0.5,0.1,1585.582407,14.62356445,0.00922283470442164,158.5582407,695.04855474,1.462356445,15.574524601,6,0
sc,Jena_1,Edinburgh,EB,330413.379508157,672249.191540387,2004,grass,improved pasture,EB_10,EB_2004_10,0.6,0.1,1459.335341,13.60031949,0.00931952999965071,145.9335341,840.98208884,1.360031949,16.93455655,7,0
sc,Jena_1,Edinburgh,EB,330310.285231472,672205.47928212,2004,grass,improved pasture,EB_100,EB_2004_100,0.05,0.05,933.625181,45.4,0.0486276515714501,46.68125905,46.68125905,2.27,2.27,1,0
sc,Jena_1,Edinburgh,EB,330310.285231472,672205.47928212,2004,grass,improved pasture,EB_100,EB_2004_100,0.1,0.05,965.10187,40.49839518,0.0419628190959779,48.2550935,94.93635255,2.024919759,4.294919759,2,0
sc,Jena_1,Edinburgh,EB,330310.285231472,672205.47928212,2004,grass,improved pasture,EB_100,EB_2004_100,0.2,0.1,1102.15986,30.28004415,0.0274733686545253,110.215986,205.15233855,3.028004415,7.322924174,3,0
sc,Jena_1,Edinburgh,EB,330310.285231472,672205.47928212,2004,grass,improved pasture,EB_100,EB_2004_100,0.3,0.1,1229.694039,25.56780175,0.0207920026763666,122.9694039,328.12174245,2.556780175,9.879704349,4,0
sc,Jena_1,Edinburgh,EB,330310.285231472,672205.47928212,2004,grass,improved pasture,EB_100,EB_2004_100,0.4,0.1,1017.363629,10.81853478,0.0106338918274815,101.7363629,429.85810535,1.081853478,10.961557827,5,0
sc,Jena_1,Edinburgh,EB,330310.285231472,672205.47928212,2004,grass,improved pasture,EB_100,EB_2004_100,0.5,0.1,,,,,,,,6,0
sc,Jena_1,Edinburgh,EB,330310.285231472,672205.47928212,2004,grass,improved pasture,EB_100,EB_2004_100,0.6,0.1,1325.86178,5.5289463,0.00417007744200908,132.586178,,0.55289463,,7,0
sc,Jena_1,Edinburgh,EB,330365.33435743,672223.737522362,2004,grass,improved pasture,EB_11,EB_2004_11,0.05,0.05,1087.4237636,49,0.0450606301243425,54.37118818,54.37118818,2.45,2.45,1,0
sc,Jena_1,Edinburgh,EB,330365.33435743,672223.737522362,2004,grass,improved pasture,EB_11,EB_2004_11,0.1,0.05,1254.6317366,33.48505204,0.0266891479492963,62.73158683,117.10277501,1.674252602,4.124252602,2,0
sc,Jena_1,Edinburgh,EB,330365.33435743,672223.737522362,2004,grass,improved pasture,EB_11,EB_2004_11,0.2,0.1,1396.708048,30.14502552,0.0215829110193543,139.6708048,256.77357981,3.014502552,7.138755154,3,0
sc,Jena_1,Edinburgh,EB,330365.33435743,672223.737522362,2004,grass,improved pasture,EB_11,EB_2004_11,0.3,0.1,1375.815463,25.88447224,0.0188139128655803,137.5815463,394.35512611,2.588447224,9.727202378,4,0
sc,Jena_1,Edinburgh,EB,330365.33435743,672223.737522362,2004,grass,improved pasture,EB_11,EB_2004_11,0.4,0.1,1522.51775,12.33832789,0.00810389756703986,152.251775,546.60690111,1.233832789,10.961035167,5,0
sc,Jena_1,Edinburgh,EB,330365.33435743,672223.737522362,2004,grass,improved pasture,EB_11,EB_2004_11,0.5,0.1,1468.77233,11.31009732,0.00770037472043063,146.877233,693.48413411,1.131009732,12.092044899,6,0
sc,Jena_1,Edinburgh,EB,330365.33435743,672223.737522362,2004,grass,improved pasture,EB_11,EB_2004_11,0.6,0.1,1066.329317,7.08207573,0.0066415464876504,106.6329317,800.11706581,0.708207573,12.800252472,7,0
sc,Jena_1,Edinburgh,EB,330359.221890038,672216.012185997,2004,grass,improved pasture,EB_12,EB_2004_12,0.05,0.05,937.3403092,38.6,0.0411803478642077,46.86701546,46.86701546,1.93,1.93,1,0
sc,Jena_1,Edinburgh,EB,330359.221890038,672216.012185997,2004,grass,improved pasture,EB_12,EB_2004_12,0.1,0.05,1276.7354868,30.85878608,0.0241700699941726,63.83677434,110.7037898,1.542939304,3.472939304,2,0
sc,Jena_1,Edinburgh,EB,330359.221890038,672216.012185997,2004,grass,improved pasture,EB_12,EB_2004_12,0.2,0.1,1398.205182,31.65575682,0.0226402800014798,139.8205182,250.524308,3.165575682,6.638514986,3,0
sc,Jena_1,Edinburgh,EB,330359.221890038,672216.012185997,2004,grass,improved pasture,EB_12,EB_2004_12,0.3,0.1,1454.6589,26.68714309,0.0183459800025972,145.46589,395.990198,2.668714309,9.307229295,4,0
sc,Jena_1,Edinburgh,EB,330359.221890038,672216.012185997,2004,grass,improved pasture,EB_12,EB_2004_12,0.4,0.1,1242.957458,,,124.2957458,520.2859438,,,5,0
sc,Jena_1,Edinburgh,EB,330359.221890038,672216.012185997,2004,grass,improved pasture,EB_12,EB_2004_12,0.5,0.1,1718.945064,6.33206074,0.00368368999836751,171.8945064,692.1804502,0.633206074,,6,0
sc,Jena_1,Edinburgh,EB,330359.221890038,672216.012185997,2004,grass,improved pasture,EB_12,EB_2004_12,0.6,0.1,1614.04477,6.25129224,0.003873060001923,161.404477,853.5849272,0.625129224,,7,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.05,0.05,838.529481,36.6,0.0436478392582598,41.92647405,41.92647405,1.83,1.83,1,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.1,0.05,1222.1658022,34.5012395,0.0282295899933503,61.10829011,103.03476416,1.725061975,3.555061975,2,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.2,0.1,1347.353099,27.44369634,0.0203686000057213,134.7353099,237.77007406,2.744369634,6.299431609,3,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.3,0.1,1087.171438,21.99582647,0.0202321599898396,108.7171438,346.48721786,2.199582647,8.499014256,4,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.4,0.1,1430.031891,8.96917432,0.00627200999953084,143.0031891,489.49040696,0.896917432,9.395931688,5,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.5,0.1,1516.865649,5.57618015,0.00367612000026246,151.6865649,641.17697186,0.557618015,9.953549703,6,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.6,0.1,1461.505343,11.6508283,0.00797180000456557,146.1505343,787.32750616,1.16508283,11.118632533,7,0
