tree_number,age,species,cultivation,soil_type,tree_height,timber_height,dbh,tree_mass,stem_mass,taper,crown_mass,root_mass
1,44,SS,1,1,24.69,22.25,35.56,1325.2,1134,1.5,191.2,466.2
2,44,SS,1,1,21.64,20.12,26.67,787,693,0.911,94,415.8
3,44,SS,1,1,24.38,21.03,31.5,1055.2,893.2,1.237,162,327.6
4,44,SS,1,1,23.47,18.9,21.84,675,617.4,0.629,57.6,194.4
5,23,SS,2,4b,7.62,6.4,21.08,185.4,130.5,2,54.9,65.2
6,23,SS,2,4b,8.84,5.33,12.95,77.4,47.7,0.772,29.7,22.9
7,23,SS,2,4b,8.84,6.1,19.3,272.2,132.7,1.774,139.5,100.8
8,23,SS,2,4b,10.06,5.49,12.45,79.6,53.5,0.68,26.1,19.8
9,23,SS,2,4b,9.45,6.71,12.19,88.2,55.3,0.479,32.9,22.9
10,23,SS,2,4b,10.06,7.92,17.78,169.2,107.1,1.049,62.1,67.5
11,23,SS,2,4b,9.45,7.62,19.3,206.1,129.6,1.346,76.5,52.6
12,23,SS,2,4b,10.36,8.53,20.32,210.6,137.2,1.291,73.3,65.2
13,23,SS,2,4b,8.53,6.1,16.26,99,69.7,1.158,29.2,31.9
14,28,SS,1,1,13.41,8.53,13.72,109.3,84.1,0.505,25.2,31.5
15,28,SS,1,1,15.85,10.67,18.54,197.5,146.2,0.818,51.3,94.5
16,28,SS,1,1,16.46,12.5,20.07,315.9,252,0.82,63.9,94.5
17,28,SS,1,1,15.54,10.06,15.24,206.5,169.6,0.547,36.9,39.6
18,28,SS,1,1,14.94,12.19,20.83,331.6,250.6,0.917,81,83.2
19,28,SS,1,1,13.41,11.89,18.54,247.9,186.7,0.724,61.2,72
20,28,SS,1,1,11.58,10.06,16.76,155.7,122.4,0.691,33.3,33.7
21,28,SS,1,1,14.33,11.28,16,202,148.9,0.542,53.1,56.2
22,28,SS,1,1,13.41,11.89,22.61,327.1,242.5,1.131,84.6,71.1
23,28,SS,1,1,14.63,11.58,20.32,279,212.8,0.906,66.1,102.6
24,28,SS,1,1,13.11,10.67,16.76,230.4,153,0.646,77.4,49.5
25,28,SS,1,1,13.72,12.19,20.83,294.3,220,0.917,74.2,76.5
26,28,SS,1,1,14.63,11.89,18.54,244.8,169.2,0.724,75.6,58.5
27,28,SS,1,1,14.63,12.8,17.78,207.9,180.4,0.605,27.4,49.5
28,28,SS,1,1,15.54,11.58,19.3,300.1,236.7,0.818,63.4,72
29,28,SS,1,1,16.15,12.19,18.54,263.2,192.6,0.704,70.6,96.7
30,29,SS,1,1,13.11,10.21,20.83,261.4,191.2,1.12,70.2,69.7
31,29,SS,1,1,13.41,13.11,17.78,215.1,155.7,0.589,59.4,63
32,29,SS,1,1,12.8,11.89,20.83,280.3,221.8,0.943,58.5,108
33,29,SS,1,1,14.33,11.28,19.3,295.2,211.5,0.843,83.7,69.3
34,29,SS,1,1,14.63,11.89,20.83,310.9,237.1,0.943,73.8,76.5
35,29,SS,1,1,15.54,13.11,23.37,476.1,350.1,1.091,126,143.1
36,29,SS,1,1,14.94,11.58,20.07,261,205.2,0.893,55.8,94.5
37,29,SS,1,1,14.94,11.89,21.59,297.4,223.6,1.022,73.8,132.7
38,29,SS,1,1a,13.11,10.67,20.32,264.6,202,0.994,62.5,69.7
39,29,SS,1,1a,14.02,12.65,22.61,328.5,256.5,1.055,72,103.5
40,29,SS,1,1a,14.02,10.97,21.59,299.7,223.2,1.118,76.5,87.7
41,29,SS,1,1a,13.41,10.97,28.96,551.2,356.8,2.11,194.4,216
42,29,SS,1,1a,14.33,11.58,24.13,537.7,325.8,1.343,211.9,189
43,29,SS,1,1a,9.75,9.14,21.59,309.6,180.9,1.379,128.7,112
44,29,SS,1,1a,10.67,8.53,25.65,468,292.5,2.178,175.5,122.8
45,29,SS,1,1a,10.67,9.45,23.37,360.9,200.2,1.58,160.6,93.6
46,25,SS,3,1x,9.75,6.1,21.84,222.3,127.8,2.308,94.5,57.1
47,25,SS,3,1x,10.06,6.71,19.3,207,138.6,1.574,68.4,57.1
48,25,SS,3,1x,10.06,6.4,18.54,183.1,119.7,1.512,63.4,48.6
49,25,SS,3,1x,9.75,7.01,21.08,226.3,148,1.786,78.3,77.4
50,25,SS,3,1x,10.97,5.79,19.3,223.2,144.4,1.894,78.7,62.5
51,25,SS,3,1x,9.75,6.71,17.78,126.9,91.8,1.286,35.1,36.9
52,25,SS,3,1x,9.45,5.79,16.26,118.3,75.1,1.236,43.2,29.2
53,25,SS,3,1x,10.06,6.55,19.3,161.5,100.8,1.619,60.7,48.1
54,25,SS,3,1x,9.75,6.71,19.3,194.8,123.7,1.574,71.1,42.7
55,25,SS,3,1x,10.06,7.32,22.61,232.6,151.2,1.995,81.4,59.4
56,25,SS,3,1x,10.67,5.49,21.08,171.4,92.7,2.436,78.7,47.2
57,25,SS,3,1x,9.75,6.4,15.49,129.1,83.7,0.959,45.4,33.3
58,26,SS,3,7,10.97,7.32,19.3,181.3,138.6,1.414,42.7,45.9
59,26,SS,3,7,8.84,5.79,15.49,107.5,76.5,1.089,31,46.8
60,26,SS,3,1x,10.36,7.32,17.78,181.8,124.6,1.156,57.1,30.6
61,26,SS,3,7,9.14,7.01,15.49,138.6,93.6,0.857,45,28.3
62,26,SS,3,7,9.14,6.71,13.72,104.8,68.8,0.68,36,22
63,26,SS,3,7,9.14,7.01,17.78,173.2,112.9,1.217,60.3,41.8
64,26,SS,3,1,10.06,7.32,19.3,243,150.7,1.414,92.2,69.7
65,26,SS,3,7,9.45,6.4,16.26,152.5,95.4,1.088,57.1,36
66,26,SS,3,7,11.28,7.77,20.32,213.7,154.8,1.443,58.9,59.4
67,26,SS,3,7,11.58,8.23,20.32,235.8,177.3,1.348,58.5,64.8
